,text_original,text_traducido,clase_RegLog,clase_SVM,clase_NavieBayes
16,esteban se va al ecuador feliz le aprobaron su cupo de cadivi como todos los venezolanos tenemos la posibilidad viajar fuera del pais,esteban is going to Ecuador happy they approved his quota of cadivi like all Venezuelans we have the possibility to travel outside the country,1,2,2
17,según c_ve_ec hay 3x más inmigrantes venezolanos que inmigrantes cubanos en ecuador,"According to c_ve_ec, there are 3x more Venezuelan immigrants than Cuban immigrants in Ecuador.",2,2,2
18,gol venezolano al momento ecuador queda fuera del sub20,Venezuelan goal at the moment Ecuador is out of the sub20,2,2,1
19, sudsub20 min 29 ecuador atontada por el gol venezolano no puede detener otro avance que machís manda fuera con un remate desviado ,sudsub20 min 29 Ecuador stunned by the Venezuelan goal can not stop another advance that machís sends out with a deflected shot,2,2,2
20,que decepción ver como por internet dicen fuera los venezolanos su dictador de cuba ecuador colombia graciaschavez,"What a disappointment to see how Venezuelans say their dictator from Cuba, Ecuador, Colombia, thanks to Chavez.",2,2,2
21, nosotros queremos los venezolanos fuera de cuba punto fuera de colombia de bolivia de ecuador ,"We want Venezuelans out of Cuba, point out of Colombia, from Bolivia to Ecuador.",2,2,2
22, será yo vivo en ecuador dnd venezolanos como tu quieren impartir ese mismo odio temor alla lo difunden,It will be I live in Ecuador where Venezuelans like you want to impart that same hatred fear spread it,2,2,1
23, si fuera venezolano de miranda votaría por ti saludos desde ecuador muchísima gente esta contigo la distancia ,"If I were a Venezuelan from Miranda, I would vote for you. Greetings from Ecuador, many people are with you.",2,0,1
24,en venezuela fuera presi chamos intentaron inscribir un burro como postulante la asamblea ecuador ,in venezuela outside presi chamos they tried to register a donkey as a candidate the assembly ecuador,2,2,1
25, soy de ecuador pero si fuera venezolana hubiese votado por ud para verlo en las noticias todos los dias guapisimo un abrazo,I am from Ecuador but if I were Venezuelan I would have voted for you to see it in the news every day beautiful hug,2,2,1
26,cruel jijiji si la vida fuera justa ecuador debería ganar este partido los venezolanos ,cruel hee hee if life was fair Ecuador should win this game the Venezuelans,2,2,2
27,q vergüenza los venezolanos no respetan nada ecuador esperaba le brindaran el respeto que cualquier país se merece fuera de su territorio ,shame Venezuelans do not respect anything ecuador hoped they would provide the respect that any country deserves outside its territory,2,2,0
28, si la vida fuera justa ecuador debería ganar este partido los venezolanos tener chavez como presidente 20 años más ,"If life were fair, Ecuador should win this game, Venezuelans have Chavez as president for 20 more years.",2,2,2
29, si la vida fuera justa ecuador debería ganar este partido los venezolanos tener chavez como presidente 20 años más jaja,"If life were fair, Ecuador should win this game, Venezuelans have Chavez as president for 20 years, haha",2,2,2
30,si la vida fuera justa ecuador debería ganar este partido los venezolanos tener chavez como presidente 20 años más ,"If life were fair, Ecuador should win this game, Venezuelans have Chavez as president for 20 more years.",2,2,2
31,si fuera venezolano igual alentaria ecuador ,"If I were Venezuelan, I would encourage Ecuador",2,2,2
32,hostil pitada de la afición venezolana al himno de ecuador mete presión pero está fuera de lugar vamos lo nuestro ,hostile whistle of the Venezuelan fans to the anthem of Ecuador puts pressure but is out of place we go our,2,2,1
33,igual marchan los venezolanos venezuela juega fuera de la cancha ecuador entrena media luz ,Venezuelans still march Venezuela plays off the field Ecuador trains half light,2,1,1
34,ecuador negocia con españa atención sanitaria para inmigrantes venezolana de televisión ecuador,Ecuador negotiates with Spain health care for Venezuelan immigrants from television Ecuador,2,2,1
35,el 81 de venezolanos se acercaron votar en ese país el voto es voluntario qué pasaría en ecuador si el sufragio no fuera obligatorio ,81 of Venezuelans came to vote in that country the vote is voluntary what would happen in Ecuador if suffrage was not mandatory,2,2,1
36,si yo fuera venezolana votaria por ya basta tanta corrupcion espero ecuador le llegue un buen candidato tb ,"If I were Venezuelan, I would vote for enough corruption, I hope Ecuador will get you a good candidate.",2,2,1
37,estoy tan nerviosa como si fuera venezolana vamos desde ecuador un saludo,I am as nervous as if I were Venezuelan we are going from Ecuador a greeting,2,2,1
38,migrantes ecuador venezolanos ejercen derecho al sufragio en ecuador ,Venezuelan Ecuadorian migrants exercise the right to vote in Ecuador,2,2,1
39, soy henrry frías desde ecuador estimado hugo por que no dejan entrar los venezolanos que llegan de fuera votar,"I am Henry Cold from Ecuador, dear Hugo, because Venezuelans who come from abroad do not let them vote",2,2,1
40,hoy todos somos venezolanos apoyo total desde ecuador fuera traidores de nuestros paises chavez correa morales castro,Today we are all Venezuelans. Full support from Ecuador outside traitors of our countries. Chavez Correa Morales Morales,2,2,1
41, como si fuera un venezolano más desde el ecuador todo el apoyo para la histórica victoria de hoy ,as if he were one more Venezuelan from the equator all the support for today's historic victory,2,2,1
42, la preferencia por sigue entre los migrantes venezolanos en ecuador entérate aquí el link uhctbpibhis twitter ,"The preference for continues among Venezuelan migrants in Ecuador, find out here the link uhctbpibhis twitter",2,2,0
43, no soy venezolana pero si lo fuera votaría sin pensarlo por usted desde ecuador un saludo bendiciones esperando gane ,I am not Venezuelan but if I were I would vote without thinking for you from Ecuador a greeting blessings waiting to win,2,2,1
44, la autodereminacion de los pueblos deja correa fuera de la diatriba que se ocupe de ecuador respete los venezolanos ,the self-determination of the peoples leaves the leash outside the diatribe that deals with Ecuador respect Venezuelans,2,2,1
45, no soy ciudadano venezolano pero si lo fuera apoyaría su candidatura espero su triunfo saludos desde ecuador ,I am not a Venezuelan citizen but if I were I would support his candidacy I hope his victory greetings from Ecuador,2,2,1
46,sino fuera el hp arbitro venezolano le pito un penal no era ecuador no hubiese sumado de 3,"If he were the Venezuelan referee, I would call him a penalty, it was not Ecuador, he would not have added 3",2,2,2
47, sr capriles saludos desde ecuador si yo fuera venezolano votaria por usted chavez es el responzable de lo mal que esta su pais,"Mr. Capriles Greetings from Ecuador, if I were a Venezuelan I would vote for you. Chavez is responsible for how bad your country is.",0,2,1
48,asociación agentes bienes raíces miami venezolanos principales compradores extranjeros 2011 son el 15 de ventas personas fuera de ee uu ,association real estate agents miami venezuela top foreign buyers 2011 are 15 sales people outside the us,2,2,2
49,otro equipo venezolano se va goleado de ecuador por ende fuera de la sudamericana ,another Venezuelan team is thrashed from ecuador therefore outside the South American,2,2,1
50,sr presidente en el consulado del ecuador en perugia hay una funcionaria venezolana trata de forma soez los migrantes es ineficiente,mr president at the consulate of the equator in perugia there is a venezuelan official who treats migrants in a rude way is inefficient,2,2,2
51,en su debut internacional fuera de ecuador liga de loja vence al monágas venezolano fue 2 0 fabio renato los marcó ,"In his international debut outside Ecuador, Liga de Loja defeated the Venezuelan monágas, it was 2 0, Fabio Renato scored",2,2,1
52,me iria demsiado con este chamo si fuera de aquí me lo violaria por que tenia que vivir en ecuador ,I would go too far with this guy if I were from here he would rape me because he had to live in Ecuador,2,2,0
53,no toleraría que venezuela fuera al mundial ecuador no aún el fútbol venezolano no llega al nivel que tenemos la diferencia el técnico ,I would not tolerate Venezuela going to the World Cup Ecuador not yet Venezuelan football does not reach the level that we have the difference the coach,2,2,2
54, que quizás no se contamine ecuador del eje cubano venezolano que es esto contaminación política xenofobia expliquen,"perhaps Ecuador of the Venezuelan Cuban axis is not contaminated, what is this xenophobia political contamination?",2,2,1
55,un saludo todos esos venezolanos que viajan para perú ecuador x destino para ustedes saben que tienen el odio de una nación completa ,a greeting all those Venezuelans who travel to peru ecuador x destination for you know you have the hatred of a whole nation,2,0,0
56, chao ecuador al mundial de brasil gracias chiriboga rueda compañia fuera ese paquete de tecnico att barce chamo naranjito,bye ecuador to the brazil world cup thanks chiriboga wheel company out that technical package att barce chamo naranjito,2,2,1
57,pobrecitos venezolanos como celebran nadie les ha dicho que ecuador uruguay juegan entre ellos por eso asi hagan 10 goles estan fuera,"Poor little Venezuelans, as they celebrate, nobody has told them that Ecuador, Uruguay, play among themselves, that's why they make 10 goals are out",2,2,1
58,yo no se que eliminatoria veo yo pero en ecuador se dicen fuera del mundial con 22 puntos los venezolanos suenan aun teniendo 17 ,I do not know what tie I see but in Ecuador they say outside the World Cup with 22 points the Venezuelans sound even having 17,2,2,1
59,ecuador uruguay que sepan que son el odio colectivo de la mayoria de los venezolanos lqm,ecuador uruguay know that they are the collective hatred of most Venezuelans lqm,2,2,0
60, con los resultados de uruguay ecuador la vinotinto queda fuera farias renuncia de luto los seguidores venezolanos ,with the results of uruguay ecuador the vinotinto is left farias resignation of mourning the Venezuelan followers,2,2,1
61,te resumo chamo chile ecuador uruguay venezuela estan el mismo lote ecuador no gana fuera eso esta claro ,I summarize chamo chile ecuador uruguay venezuela are the same lot ecuador does not win out that is clear,2,2,1
62, analisisconmebol ecuador sumara ante bolivia que esta fuera colombia puede darle vida los venezolanos que deben ganarle perú en casa ,analysis conmebol Ecuador will add to Bolivia that this was Colombia can give life to Venezuelans who must win Peru at home,2,2,1
63,ecuador sumara ante bolivia que esta fuera colombia puede darle vida los venezolanos que deben ganarle perú en casa ,Ecuador will add to Bolivia that this outside Colombia can give life to Venezuelans who must win Peru at home,2,2,1
64,razones para seguir en venezuela una venezolana hija de inmigrantes que emigró ecuador me escribió quo ,Reasons to continue in Venezuela a Venezuelan daughter of immigrants who emigrated Ecuador wrote me quo,2,2,1
65, eso no tuvo problemas salida del ecuador porque la fecha era correcta poca flexibilidad migración venezolana 10 min,that had no problems leaving the equator because the date was correct little flexibility Venezuelan migration 10 min,2,2,1
66,ecuador apoya regularización de millones de migrantes en eeuu agencia venezolana de noticias ecuador,Ecuador supports regularization of millions of migrants in the US Venezuelan news agency Ecuador,2,2,2
67,ella canciller de ecuador habla como si fuera venezolano vaya opine en su pais mejor metase la lengua en el culo vio en el culooooo,she chancellor of ecuador speaks as if he were a Venezuelan go think in your country better stick your tongue in the ass saw in the assoooo,0,2,1
68,chamos metanse en los tt de ecuador qué respeto que pena da la opo venezolana fuera chavez maduro estuvieran con su odio,We met in the tt of Ecuador what respect that pity gives the Venezuelan oppo were chavez mature were with their hatred,2,2,1
69, ese señor es un patiño del gobierno ecuatoriano venezolano se están hundiendo poco poco ecuador sin venezuela fuera pobre,That man is a patiño of the Venezuelan Ecuadorian government. They are sinking a little bit Ecuador without Venezuela was poor,2,2,1
70,unir naciones maduro ecuador venezuela pero siembras el odio entre los venezolanos ,uniting nations mature ecuador venezuela but you sow hatred among Venezuelans,2,2,1
71, los venezolanos nos sentimos felices en ecuador nos tratan como si fuera nuestra tierra natal gracias por su cariño mi presi ,"Venezuelans feel happy in Ecuador, they treat us as if it were our homeland, thank you for your love, my pressure.",2,0,1
72,por ningun motivo deberia estar opinando sobre la politica venezolana menos llamando golpista fuera ecuador,For no reason should I be commenting on Venezuelan politics except calling a coup leader outside Ecuador,2,2,1
73,no soy venezolana pro si lo fuera tbn staria l cacerolazo rsptando voto dl cambio progreso dsd ecuador apoyamos flaco ,I am not Venezuelan pro if it were tbn staria l cacerolazo rsptando vote dl change progress dsd ecuador we support skinny,2,2,1
74,si fuera venezolana estuviera ahí de cacerolazo jajaja saludos desde ecuador todo el mundo sabe que usted es el ganador,"If I were Venezuelan, I would be there with the saucepan hahaha Greetings from Ecuador everyone knows that you are the winner",2,2,2
75,un día colombia venezuela ecuador panamá fueron un mismo país puedo sentir el dolor de los venezolanos como si fuera mío ,one day colombia venezuela ecuador panama were the same country I can feel the pain of the Venezuelans as if it were mine,2,2,1
76,si yo fuera venezolana me vendría ecuador digo no más jaja ,If I were Venezuelan I would come Ecuador I say no more haha,1,2,2
77, si fuera venezolana votara capriles sr para amar con pasion su pais bendiciones desde ecuador ,"If she were a Venezuelan, she would vote Capriles Sr. to love her country with passion, blessings from Ecuador",2,2,1
78,gobierno venezolano pandilla de asesinos terroristas delincuentes venezuela cuba ecuador bolivia argentina,Venezuelan government gang of criminal terrorist murderers venezuela cuba ecuador bolivia argentina,2,2,1
79,de ecuador pero si fuera venezolano votaria capriles ,from Ecuador but if he were Venezuelan he would vote capriles,2,2,1
80, sí fuera venezolano yo voto por ti viva ecuador venezuela libres de dictadura disfrazada de socialismo,"If I were Venezuelan I would vote for you, live Ecuador, Venezuela, free of dictatorship disguised as socialism",2,2,1
81,gracias maría por tu apoyo vzla dtb si yo fuera venezolana tambien fuera mi voto por el señor saludos desde ecuador ,thank you maria for your support vzla dtb if I were Venezuelan I would also be my vote for the Lord greetings from Ecuador,2,1,2
82, si yo fuera venezolana tambien fuera mi voto por el señor saludos desde ecuador ,"If I were Venezuelan I would also be my vote for the Lord, greetings from Ecuador",2,2,2
83,correa cantando el himno venezolano con furor como si fuera el de ecuador ,Correa singing the Venezuelan anthem with fury as if it were that of Ecuador,2,2,2
84, ecuador decreta tres días de duelo por muerte del presidente venezolano hugo chávez como sí ese muerto fuera de ellos ,Ecuador decrees three days of mourning for the death of Venezuelan President Hugo Chávez as if that dead man outside of them,2,2,1
85,que vivan los estudiantes venezolanos fuera los cubanos de venezuela cuba colombia ecuador bolivia nicaragua chile,"Long live the Venezuelan students outside the Cubans of Venezuela, Cuba, Colombia, Ecuador, Bolivia, Nicaragua, Chile.",2,2,1
86,funny thing correa habla como un sifrino venezolano si no fuera presidente de ecuador seguro sería locutor de la mega ,funny thing strap speaks like a Venezuelan sifrino if he were not president of ecuador he would surely be announcer of the mega,2,2,2
87,3 en colombia ecuador perú se está desarrollando una campaña de odio de persecución de desprecio xenofóbia contra el pueblo de venezuela 3 agarran los venezolanos porque los peruanos no quieren trabajar por lo poco que pagan ,3 in colombia ecuador peru a hate campaign of persecution of xenophobic contempt is being carried out against the people of venezuela,0,1,1
88,creamos el grupo hipicos venezolanos en argentina chile ecuador peru colombia para los que estan fuera del pais entra aqui hipismo turf ,"We created the Venezuelan horse racing group in Argentina, Chile, Ecuador, Peru, Colombia, for those who are outside the country, enter here hippism turf",2,2,1
89,parecido cómo tratan en ecuador los migrantes venezolanos ,similar to how Venezuelan migrants treat Ecuador,2,2,1
90,soy de ecuador por acá estamos siguiendo el día día la situación venezolana acá nos encontramos con migrantes venezolanos en las calles vendiendo artículos otros pidiendo caridad otro grupo cometiendo fechorías ,I am from Ecuador around here we are following the Venezuelan situation day by day here we find Venezuelan migrants in the streets selling items others asking for charity another group committing misdeeds,2,0,1
91,aumenta la xenofobia en perú al mejor estilo de ecuador gritan fuera venezolanos fuera los venezolanos la muestra de xenofobia de estos comerciantes en perú video ,"xenophobia increases in peru, in the best style of ecuador, Venezuelans shout outside, Venezuelans show the xenophobia of these merchants in peru video",2,2,1
92,1 no deportación mejor ir colombia ecuador están más cerca 2 ni sumando chile argentina brasil uruguay se alcanza la cantidad de venezolanos que hay en perú 3 una cosa es odio los venezolanos otra cosa que es lo que tiene permitido hacer un extranjero en perú ,1 not deportation better go Colombia ecuador are closer 2 neither adding Chile Argentina Brazil Uruguay the number of Venezuelans in Peru is reached 3 one thing is hatred Venezuelans another thing is what a foreigner is allowed to do in Peru,0,2,1
93,leístes mal eso no ocurrió en sri lanka sino en ecuador el odio fue contra los venezolanos,you read wrong that did not happen in sri lanka but in ecuador the hatred was against Venezuelans,2,2,2
94,maldito recuerda cuando incitaste el odio los venezolanos en ecuador hipócrita judas,Damn remember when you incited hatred Venezuelans in Ecuador hypocritical Judas,1,2,2
95,esta es la mentalidad paramilitar la mentalidad de uribe me recuerda esas redadas que hicieron en ecuador persiguiendo venezolanos la mentalidad de la gente de eeuu es algo de temer si no me creen vean los comentarios de esta publicación inmigrantes son seres humanos ,this is the paramilitary mentality uribe's mentality reminds me of those raids they did in ecuador chasing Venezuelans the mentality of the us people is something to fear if you don't believe me see the comments on this publication immigrants are human beings,2,2,1
96,delito que es común en caracas ahora lo han traído al ecuador gracias al absurdo ingreso indiscriminado de migrantes venezolanos hay que eliminar esas lacras que viene sembrar terror en nuestro territorio hacen quedar mal al resto de sus compatriotas honestos ,"Crime that is common in Caracas has now been brought to Ecuador thanks to the absurd indiscriminate entry of Venezuelan migrants. It is necessary to eliminate those blots that come to sow terror in our territory, making the rest of their honest compatriots look bad.",2,1,1
97,eres su cómplice entonces deja de decir pendejadas en ecuador asesinaron un ingeniero 3 venezolanos estos indeseables si te roban en venezuela te dan sin compasión cómo va un inmigrante otro país llevando su pistola deja de victimizarte con la xenofobia muchos van jo,you are his accomplice then stop saying bullshit in ecuador an engineer murdered 3 venezuelans these undesirables if they rob you in venezuela they give you without compassion how an immigrant goes to another country carrying his gun stop victimizing you with xenophobia many go jo,0,2,1
98,semejante atrocidad han cometido estas chamas junto con otro hombre ojala las atrapen con este asesinato producto de la ignorancia de algunos ecuatorianos aumentara la xenofobia persecución algunos compatriotas en ecuador ,"Such atrocity have been committed by these shamans together with another man, hopefully they will be caught with this murder, the product of the ignorance of some Ecuadorians, xenophobia, persecution, some compatriots in Ecuador will increase.",2,2,2
99, 20abr inmigrantes asesinan venezolano en ecuador pic twitter com jhejz8of8j,20Apr immigrants murder Venezuelan in Ecuador pic twitter com jhejz8of8j,2,2,2
100,otro ecuatoriano es víctima de la delincuencia venezolana en pillaro muere joven de aproximadamente 33 años de manos de su novia piky asesinos que defendia la enemiga ginabenavides me quedó admirada el grado de degradación moral de estas chavistas que pisan ecuador pic twitter com epq1hx9z1a,"Another Ecuadorian is a victim of Venezuelan crime in Pillaro, a young man of approximately 33 years dies from the hands of his girlfriend, Piky Assassins, who defended the enemy Ginabenavides. The degree of moral degradation of these Chavistas who tread Ecuador pic twitter com epq1hx9z1a",1,2,1
101,migrantes del mundo aquí venezolanos llegando la frontera con ecuador después de haber cruzado colombia en colombia miles de personas son desplazadas internamente twitter com mxmtf9ufqu,Migrants from the world here Venezuelans arriving at the border with Ecuador after having crossed Colombia in Colombia thousands of people are internally displaced twitter com mxmtf9ufqu,2,2,2
102,otro motivo más para que los venezolanos de bien en ecuador sigan sufriendo de xenofobia ,Another reason for Venezuelans of good in Ecuador to continue suffering from xenophobia,2,2,1
103,matan un venezolano en ecuador nuevo brote de xenofobia pic twitter com w7pg2us131,They kill a Venezuelan in Ecuador a new xenophobia outbreak pic twitter com w7pg2us131,0,2,2
104,solo los venezolanos estan matando por favor como si en ecuador no hay delincuentes asesinos ,only Venezuelans are killing please as if in Ecuador there are no murderous criminals,2,0,1
105,ricardo patiño se encuentra fuera del país tiene orden de prisión pero no ha sido detenido la persecución política en ecuador es atroz el sistema judicial está secuestrado por gusanos saludos hermanos venezolanos resistiremos venceremos ,ricardo patiño is out of the country he has a prison order but the political persecution in ecuador has not been stopped it is atrocious the judicial system is kidnapped by worms greetings venezuelan brothers we will resist we will win,0,2,2
106,si se fugó la patiño que les hace creer que los asesinos venezolanos están en el ecuador son más pendejos que tonelada,if the patiño escaped that makes them believe that the Venezuelan murderers are in the equator they are more assholes than tons,2,2,1
107,seguro fue por la xenofobia le tienen los venezolanos claro ecuador va decir eztabarobando lo digo porque no es la primera vez pasa igual en colombia,surely it was because of xenophobia Venezuelans have him of course ecuador will say eztabarobando I say it because it is not the first time it happens the same in Colombia,2,2,1
108, me fuera para ecuador también vale romper tarima por allá dejarles el sabor venezolano exitos besooos ,I went to Ecuador it is also worth breaking the stage over there to leave them the Venezuelan flavor success besooos,2,2,2
109,el ministerio alimentación anuncio le comprara 3000 kilos papa ecuador dejando por fuera los productores venezolano traición,"The Ministry of Food announced the purchase of 3,000 kilos of potato from Ecuador, leaving out the Venezuelan producers for treason",2,2,2
110,y venezolanos tambien migrantes sacan dinero de ecuador para subsistir en españa ,and Venezuelans also migrants take money from Ecuador to subsist in Spain,2,1,2
111,guardia venezolana ingresó 2 km si fuera col en ecuador correa estaría llorando amenazando con no ir la cumbre de las américas ,Venezuelan guard entered 2 km if it were cabbage in Ecuador Correa would be crying threatening not to go the summit of the Americas,2,2,2
112,claro es alumno del comandante venezolano en ecuador la libertad de expresion quedo fuera de combate ,of course he is a student of the Venezuelan commander in Ecuador freedom of expression was out of the battle,2,2,2
113,soy asambleísta del ecuador pero si fuera venezolana votaría por el cambio votaría por suerte ,I am an Assemblyman from Ecuador but if I were Venezuelan I would vote for the change I would vote for luck,2,2,1
114,perdón la gran colombia era ecuador vzla colombia si yo fuera venezolana léase de la gran colombia votaría por ,"Sorry, the great Colombia was Ecuador. Vzla Colombia. If I were Venezuelan, read from the great Colombia. I would vote for",2,2,1
115,putaaa agrega m da el nombre del barrio como si fuera venezolana pfff juro yo soy ecuador ,putaaa adds m gives the name of the neighborhood as if it were Venezuelan pfff I swear I am Ecuador,2,2,1
116,odio las novelas venezolanas pero aki en ecuador se pasan contratar actors dsconocidos venezolanos malos gays ridiculos ,I hate Venezuelan novels but here in Ecuador they spend hiring unknown actors Venezuelan bad gay ridiculous,0,0,0
117,esto chamo estoy notando en ecuador hay mujeres bonitas pero las venezolanas son fuera de serie ,I am noticing this in Ecuador there are beautiful women but the Venezuelan women are out of the ordinary,0,1,1
118,chamo estoy notando en ecuador hay mujeres bonitas pero las venezolanas son fuera de serie ,bye I'm noticing in Ecuador there are pretty women but Venezuelan women are out of the ordinary,2,1,1
119, en migración del ecuador los venezolanos no reciben el beneficio de ser ciudadanos de la comunidad andina ,"In migration from Ecuador, Venezuelans do not receive the benefit of being citizens of the Andean community",2,2,1
120, no soy venezolana pero me siento como si lo fuera saludos desde ecuador besoss ,"I am not Venezuelan but I feel like I am, greetings from Ecuador besoss",2,1,1
121,sea como fuera farias menosprecio ecuador x eso le pasaron encima ya ni hablar el desprecio le hizo al fanatico venezolano,"Be that as it may, farias contempt Ecuador x that happened to him and not even speak the contempt did to the Venezuelan fan",2,1,1
122,la defensa venezolana sigue dormida si no fuera por vega ecuador ganaría por 4 5 goles ,The Venezuelan defense is still asleep if it were not for Vega Ecuador would win by 4 5 goals,2,2,2
123,muy fuera de lugar tu pregunta hehe ambarmartinez verga chama tu vas vzla a ecuador ,very out of place your question hehe ambarmartinez verga chama you go vzla to ecuador,2,2,1
124,el de ecuador del corte extravagante si fuera venezolano fuera tukky xd jajaja,the one from Ecuador with the extravagant cut if it were Venezuelan it was tukky xd hahaha,2,2,2
125,prensacl previa ecuador vs venezuela dt venezolano dejó fuera sus principales figuras arango rondón son dos de ,previous press ecuador vs venezuela dt venezuelan left out its main figures arango rondón are two of,2,0,0
126,previa ecuador vs venezuela dt venezolano dejó fuera sus principales figuras arango rondón son dos de los ,previous ecuador vs venezuela dt venezuelan left out its main figures arango rondón are two of the,2,0,0
127,vamos mi ecuador ganar estos venezolanos se creen la divina papaya fuera rueda chiriboga compañia ,"Come on, my Ecuador, win these Venezuelans, they believe the divine papaya out of the chiriboga company",2,2,2
128, socialismoesamormayor si en algo se párese la oposición de argentina ecuador bolivia la venezolana es en el odio ala clase pobre,"If the opposition of Argentina, Ecuador, Bolivia or Venezuela stand still, it is in hatred of the poor class.",2,2,1
129,ecuador nuevo destino favorito de los venezolanos que emigran inmigrantes en panamá ,Ecuador new favorite destination for Venezuelans who migrate immigrants in Panama,2,2,2
130, si la oposición venezolana fuera bruta sería igual que la oposición golpista terrorista del ecuador oposiciónsúperbruta,if the Venezuelan opposition were brutal it would be the same as the terrorist coup opposition of Ecuador super-gross opposition,2,2,2
131,autor de ley gringa para migrantes venezolanos hizo lobby banqueros fugitivos de ecuador la tabla viqgfpmxu4c twitter ,Gringa author of Venezuelan migrants lobbied fugitive bankers from Ecuador the table viqgfpmxu4c twitter,2,2,2
132,autor de ley gringa para migrantes venezolanos hizo lobby banqueros fugitivos de ecuador la tabla ,Gringo author of Venezuelan migrants lobbied fugitive bankers from Ecuador the table,2,2,2
133,1 10 1864 muere en quito ecuador el militar venezolano juan josé flores quien fuera uno de los actores de la lucha independentista ,"1 10 1864 the Venezuelan military officer Juan José Flores, who was one of the actors in the independence struggle, dies in Quito Ecuador",2,2,2
134,acá en manta hay tantos venezolanos que me siento fuera de ecuador ,here in blanket there are so many Venezuelans that I feel outside of Ecuador,2,2,1
135,dictador venezolano con su conocido aplomo intelectual dice en ecuador que no caben el odio intolerancia revanchismo ,"Venezuelan dictator with his well-known intellectual poise says in Ecuador that there is no room for hatred intolerance, revenge",2,2,2
136,1 acabo de ver un video en la policia del ecuador reprime gente que salió protestar fuera del consulado venezolano acá en guayaquil,1 I just saw a video in the Ecuadorian police repressing people who went out to protest outside the Venezuelan consulate here in Guayaquil,2,2,1
137, agradecidos venezolanos por mediaciòn ecuador pero la oligarquìa colombiana hoy nos saquea es la misma odiò chavez,grateful Venezuelans for Ecuador mediation but the Colombian oligarchy looting us today is the same hatred Chavez,2,2,2
138,q todos los venezolanos sepan aquí en ecuador la mayoría no le queremos ni ver al maburro dictador venezolano es rechazado fuera fuera ,"That all Venezuelans know here in Ecuador, most of us do not even want to see the ill-fated Venezuelan dictator who is rejected outside.",2,1,1
139, puede buscar en facebook en inmigrantes venezolanos en ecuador también en inmigrantes en ecuador venezolanos,you can search facebook on Venezuelan immigrants in Ecuador also on Venezuelan immigrants in Ecuador,2,2,2
